,0,1,2,3,4
0,5288.3648,1858.9055999999996,1677.3536,3476.272,3100.8719999999994
1,1216.48,1717.36,2135.6639999999998,2312.2527999999998,1435.9904000000001
2,4478.9151999999995,4397.3008,1613.632,2167.6639999999998,3836.0512000000003
3,3863.0015999999996,2127.6479999999997,1966.3712,2219.3312,2117.7152
4,1702.0,1320.144,2403.5104,2684.0352000000003,2339.8095999999996
5,4160.7024,1377.712,2229.4816,2555.9168,2260.1856000000002
6,1233.0719999999997,2353.4928,3710.0624,2452.6784000000002,1985.9471999999998
7,3447.8047999999994,1899.3919999999998,2091.6048,3281.217600000001,2679.792
8,2795.3280000000004,2289.6624,3100.6735999999996,3343.0176,3290.6752
9,3483.2864,4286.236800000001,2534.4576,1482.8384,2060.9664000000002
